#CODE;ENGLISH;;;;;;;;;x 
#MODIFIER_COMBAT_RATING;Combat Rating;;;;;;;;;x 
CR_DIFF_LOWER_THAN;Combat Rating Difference between §Y$FIRST$§! and §Y$SECOND$§! lower than §Y$VAL$§!;;;;;;;;;x 
CR_DIFF_AT_LEAST;Combat Rating Difference between §Y$FIRST$§! and §Y$SECOND$§! at least §Y$VAL$§!;;;;;;;;;x 
HAS_CR_AT_LEAST;Combat Rating at least ;;;;;;;;;x 
HAS_LOWER_CR_THAN;Combat Rating lower than ;;;;;;;;;x 
MASTER;master;;;;;;;;;x 
MISTRESS;mistress;;;;;;;;;x 
wol_schemer_1;Amateur Schemer;;;;;;;;;x 
desc_wol_schemer_1;This character is an aspiring schemer who seeks to manipulate others through deceit and subterfuge.;;;;;;;;;x 
wol_schemer_2;Schemer;;;;;;;;;x 
desc_wol_schemer_2;This character is an experienced schemer, plotter and shadowy puppetmaster.;;;;;;;;;x 
wol_patriarch_1;Family Man;;;;;;;;;x 
desc_wol_patriarch_1;This man is devoted to the harmony and well-being of his family.;;;;;;;;;x 
wol_patriarch_2;Family Patriarch;;;;;;;;;x 
desc_wol_patriarch_2;This man is the undisputed head of the family, resolving conflicts and leading with a firm but gentle hand.;;;;;;;;;x 
wol_matriarch_1;Family Woman;;;;;;;;;x 
desc_wol_matriarch_1;This woman is devoted to the harmony and well-being of her family.;;;;;;;;;x 
wol_matriarch_2;Family Matriarch;;;;;;;;;x 
desc_wol_matriarch_2;This woman is the undisputed head of the family, resolving conflicts and leading with a firm but gentle hand.;;;;;;;;;x 
schemer;Master Schemer;;;;;;;;;x 
break_up_with_lover;Break up;;;;;;;;;x 
break_up_with_lover_desc;Your love affair with [Root.GetTitledFirstNameNoRegnal] is ended.;;;;;;;;;x 
opinion_whorespawn;Whorespawn;;;;;;;;;x 
opinion_seduced_once;Seduced;;;;;;;;;x 
opinion_seduced_lustful_worship;Lustful Worship;;;;;;;;;x 
opinion_seducing_concubine;Seducing;;;;;;;;;x 
opinion_regicide_traitor;Murderous Traitor;;;;;;;;;x 
seduced_loyal_bodyguard;Bodyguard Lover;;;;;;;;;x 
desc_seduced_loyal_bodyguard;Through seduction, this character has secured the most loyal bodyguard imaginable.;;;;;;;;;x 
seduced_loyal_spy_maid;Maidservant Lover;;;;;;;;;x 
desc_seduced_loyal_spy_maid;This character has seduced a maid with a quick mind and an ample bosom, using her to spy and snoop around at court.;;;;;;;;;x 
minor_disease_herpes;Lover's Pox;;;;;;;;;x 
desc_minor_disease_herpes;This character periodically suffers from embarrassing and unsightly blisters.;;;;;;;;;x 
DAMNATION;Damnation;;;;;;;;;x 
EVTDESC6031_ALL;As the [Root.Religion.GetPriestTitle] slowly pulled me out of the holy spring, the water started boiling and frothing, paint running off the arcane runes smeared on my naked body. Filled with wonder, I realized that the gibbering voices in my head had finally fallen silent!;;;;;;;;;x 
EVTDESC38309;The fog in my mind has lifted. I realize now that I used to be a Lunatic!;;;;;;;;;x 
EVTDESC38310;I have lost my absolute convictions and try to keep an open mind. I have lost the Zealous trait.;;;;;;;;;x 
EVTDESC38311;My frank bluntness won't get me into trouble anymore - I have lost the Honest trait.;;;;;;;;;x 
EVTDESC38312;I have learned to take pride in my actions and in my great family. I have lost the Humble trait.;;;;;;;;;x 
EVTOPTC64130;Life is good!;;;;;;;;;x 
EVTDESC_WOL_40;This morning I woke up with a painful itch. It seems [Root.Religion.GetRandomGodName] has seen fit to blight me with a minor pox for my sinful activities.;;;;;;;;;x 
EVTDESC_WOL_40_NC;This morning I woke up with a painful itch... it seems I have contracted Lover's Pox.;;;;;;;;;x 
EVTDESC_WOL_500;My confessor, [target_priest.GetTitledName] is such an attractive [target_priest.GetManWoman]! I've applied my ample charms and can tell [target_priest.GetSubjectPronoun] is thinking of other things than [target_priest.Religion.GetRandomGodName]!;;;;;;;;;x 
EVTOPTA_WOL_500;Give [target_priest.GetObjectPronoun] a taste of what [target_priest.GetSubjectPronoun] is missing!;;;;;;;;;x 
EVTOPTB_WOL_500;I do so love teasing the dear [target_priest.GetManWoman]...;;;;;;;;;x 
EVTDESC_WOL_520;Recently, I have amused myself with seducing a handsome young guard. He follows me around like a puppy now... a very big, muscular puppy!;;;;;;;;;x 
EVTOPTA_WOL_520;Make him a squire and keep him as my lover...;;;;;;;;;x 
EVTOPTB_WOL_520;Give him a tumble and I'll have the most loyal bodyguard ever!;;;;;;;;;x 
EVTOPTC_WOL_520;It's been fun, but I should aim higher.;;;;;;;;;x 
EVTDESC_WOL_530;I've had my eye on a feisty young scullery maid with huge... intellect for some time now. Though she skillfully dodges the attentions of every boy and greybeard at court, I have her blushing furiously whenever I gaze into her eyes. Seduced and wrapped around my finger, this sharp lass could be very useful...;;;;;;;;;x 
EVTOPTA_WOL_530;Make her a lady and keep her as my mistress...;;;;;;;;;x 
EVTOPTB_WOL_530;Bed her and make her mine. What a spy she'll make!;;;;;;;;;x 
EVTOPTC_WOL_530;A common wench? I can do better!;;;;;;;;;x 
##;;;;;;;;;;x 
##;;;;;;;;;;x 
##;;;;;;;;;;x 
##;;;;;;;;;;x 
##;;;;;;;;;;x 
##;;;;;;;;;;x 
##;;;;;;;;;;x 
##;;;;;;;;;;x 
##;;;;;;;;;;x 
##;;;;;;;;;;x 
##;;;;;;;;;;x 
EVTDESC_WOL_560;I see her flit past out of the corner of my eye, naked and red-haired, giggling - the nymph who lives in the garden. Always teasing me, never showing herself clearly. What must I do to win her heart?;;;;;;;;;x 
