#CODE;ENGLISH;;;;;;;;;x 
ACQUISITION_CLAIM;Conquered as a Claimant;;;;;;;;;x 
ACQUISITION_HOST;Conquered as an Adventurer;;;;;;;;;x 
ACQUISITION_REVOLT;Conquered as Leader of an Uprising;;;;;;;;;x 
ACQUISITION_USURP;Peacefully Usurped;;;;;;;;;x 
ACQUISITION_FACTION_DEMAND;Installed by Faction Demand;;;;;;;;;x 
PERSONAL_OPINION_LOWER_THAN;Personal Opinion lower than ;;;;;;;;;x 
PERSONAL_OPINION_AT_LEAST;Personal Opinion of at least ;;;;;;;;;x 
PERS_OPINION_DIFF_LOWER_THAN;Personal Opinion difference between §Y$FIRST$§! and §Y$SECOND$§! lower than §Y$VAL$§!;;;;;;;;;x 
PERS_OPINION_DIFF_AT_LEAST;Personal Opinion difference between §Y$FIRST$§! and §Y$SECOND$§! at least §Y$VAL$§!;;;;;;;;;x 
RULER_OF_TITLE;$RULER$ of $TITLE$;;;;;;;;;x 
EVTDESC38305;I have grown more trusting, accepting whatever fate has in store for me. I have lost the Paranoid trait.;;;;;;;;;x 
EVTDESC38306;I have become aware of people's duplicity. I have lost the Trusting trait.;;;;;;;;;x 
EVTDESC38307;I have suffered enough pain and betrayal. Why help those who hurt me back? I have lost the Kind trait.;;;;;;;;;x 
EVTDESC38308;The wounds have marked me for life. I have gained the Scarred trait.;;;;;;;;;x 
MEN;men;;;;;;;;;x 
WOMEN;women;;;;;;;;;x 
MALE;male;;;;;;;;;x 
FEMALE;female;;;;;;;;;x 
ADULTERER;adulterer;;;;;;;;;x 
ADULTERESS;adulteress;;;;;;;;;x 
nick_the_unfaithful;the Unfaithful;;;;;;;;;x 
nick_the_beguiling;the Beguiling;;;;;;;;;x 
nick_the_temptress;the Temptress;;;;;;;;;x 
nick_the_seducer;the Seducer;;;;;;;;;x 
nick_the_lewd;the Lewd;;;;;;;;;x 
nick_the_lecher;the Lecher;;;;;;;;;x 
nick_the_unchaste;the Unchaste;;;;;;;;;x 
INSULT_OLD;old;;;;;;;;;x 
INSULT_TADPOLE;tadpole;;;;;;;;;x 
INSULT_CHILD;child;;;;;;;;;x 
INSULT_VILE;vile;;;;;;;;;x 
INSULT_FOUL;foul;;;;;;;;;x 
INSULT_FILTHY;filthy;;;;;;;;;x 
INSULT_CLOWN;clown;;;;;;;;;x 
INSULT_COW;cow;;;;;;;;;x 
INSULT_INFIDEL;infidel;;;;;;;;;x 
INSULT_HERETIC;heretic;;;;;;;;;x 
INSULT_GROTESQUE;grotesque;;;;;;;;;x 
INSULT_DWARF;dwarf;;;;;;;;;x 
INSULT_CLUBFOOT;clubfoot;;;;;;;;;x 
INSULT_LIMPING;limping;;;;;;;;;x 
INSULT_HARELIP;harelip;;;;;;;;;x 
INSULT_CLEFT_LIPPED;cleft-lipped;;;;;;;;;x 
INSULT_BASTARD;bastard;;;;;;;;;x 
INSULT_BASEBORN;baseborn;;;;;;;;;x 
INSULT_KINSLAYER;kinslayer;;;;;;;;;x 
INSULT_SODOMITE;sodomite;;;;;;;;;x 
INSULT_DULLARD;dullard;;;;;;;;;x 
INSULT_DIM;dim;;;;;;;;;x 
INSULT_VACUOUS;vacuous;;;;;;;;;x 
INSULT_NITWIT;nitwit;;;;;;;;;x 
INSULT_IMBECILE;imbecile;;;;;;;;;x 
INSULT_FREAK;freak;;;;;;;;;x 
INSULT_ABOMINATION;abomination;;;;;;;;;x 
INSULT_MONSTROUS;monstrous;;;;;;;;;x 
INSULT_HIDEOUS;hideous;;;;;;;;;x 
INSULT_WEAKLING;weakling;;;;;;;;;x 
INSULT_LESBIAN;lesbian;;;;;;;;;x 
INSULT_SAPPHIC;sapphic;;;;;;;;;x 
INSULT_HUNCHBACK;hunchback;;;;;;;;;x 
INSULT_CROOKED;crooked;;;;;;;;;x 
INSULT_LISPER;lisper;;;;;;;;;x 
INSULT_FALTERING;faltering;;;;;;;;;x 
INSULT_STUTTERING;stuttering;;;;;;;;;x 
INSULT_GORGON;gorgon;;;;;;;;;x 
INSULT_IDIOT;idiot;;;;;;;;;x 
INSULT_TORTURER;torturer;;;;;;;;;x 
INSULT_LECHER;lecher;;;;;;;;;x 
INSULT_LECHEROUS;lecherous;;;;;;;;;x 
INSULT_GLUTTON;glutton;;;;;;;;;x 
INSULT_GORGING;gorging;;;;;;;;;x 
INSULT_VENAL;venal;;;;;;;;;x 
INSULT_INDOLENT;indolent;;;;;;;;;x 
INSULT_EVIL;evil;;;;;;;;;x 
INSULT_ENVIOUS;envious;;;;;;;;;x 
INSULT_HARRIDAN;harridan;;;;;;;;;x 
INSULT_RAGING;raging;;;;;;;;;x 
INSULT_DECEITFUL;deceitful;;;;;;;;;x 
INSULT_CRAVEN;craven;;;;;;;;;x 
INSULT_COWARD;coward;;;;;;;;;x 
INSULT_SCATTERBRAIN;scatterbrain;;;;;;;;;x 
INSULT_ERRATIC;erratic;;;;;;;;;x 
INSULT_BIGOT;bigot;;;;;;;;;x 
INSULT_BIGOTED;bigoted;;;;;;;;;x 
INSULT_PARANOID;paranoid;;;;;;;;;x 
INSULT_FOOL;fool;;;;;;;;;x 
INSULT_GULLIBLE;gullible;;;;;;;;;x 
INSULT_CRUEL;cruel;;;;;;;;;x 
INSULT_BRUTE;brute;;;;;;;;;x 
INSULT_FIEND;fiend;;;;;;;;;x 
INSULT_CALLOUS;callous;;;;;;;;;x 
INSULT_WANTON;wanton;;;;;;;;;x 
INSULT_SENILE;senile;;;;;;;;;x 
INSULT_CRIPPLE;cripple;;;;;;;;;x 
INSULT_VEGETABLE;vegetable;;;;;;;;;x 
INSULT_BESOTTED;besotted;;;;;;;;;x 
INSULT_DRUNKARD;drunkard;;;;;;;;;x 
INSULT_UNCLEAN;unclean;;;;;;;;;x 
INSULT_LEPER;leper;;;;;;;;;x 
INSULT_BAT;bat;;;;;;;;;x 
INSULT_DEMONIC;demonic;;;;;;;;;x 
INSULT_DEMENTED;demented;;;;;;;;;x 
INSULT_LUNATIC;lunatic;;;;;;;;;x 
INSULT_LUGUBRIOUS;lugubrious;;;;;;;;;x 
INSULT_CRAZED;crazed;;;;;;;;;x 
INSULT_DEVIL_WOMAN;devil-woman;;;;;;;;;x 
INSULT_WARLOCK;warlock;;;;;;;;;x 
INSULT_EFFEMINATE;effeminate;;;;;;;;;x 
INSULT_UNMANNED;unmanned;;;;;;;;;x 
INSULT_EUNUCH;eunuch;;;;;;;;;x 
INSULT_BLIND;blind;;;;;;;;;x 
INSULT_PEASANT;peasant;;;;;;;;;x 
INSULT_PEASANT_WOMAN;peasant woman;;;;;;;;;x 
INSULT_LOWBORN;lowborn;;;;;;;;;x 
INSULT_HERESIARCH;heresiarch;;;;;;;;;x 
INSULT_SYBARITE;sybarite;;;;;;;;;x 
INSULT_DECADENT;decadent;;;;;;;;;x 
INSULT_WHOREMONGER;whoremonger;;;;;;;;;x 
INSULT_WHORING;whoring;;;;;;;;;x 
INSULT_DEBASED;debased;;;;;;;;;x 
INSULT_TEMPTRESS;temptress;;;;;;;;;x 
INSULT_DODDERER;dodderer;;;;;;;;;x 
INSULT_DEBAUCHER;debaucher;;;;;;;;;x 
INSULT_LITTLE;little;;;;;;;;;x 
INSULT_DEGENERATE;degenerate;;;;;;;;;x 
INSULT_PERVERTED;perverted;;;;;;;;;x 
INSULT_TROLLOP;trollop;;;;;;;;;x 
INSULT_PRUNE;prune;;;;;;;;;x 
INSULT_PRUDE;prude;;;;;;;;;x 
INSULT_PRUDISH;prudish;;;;;;;;;x 
INSULT_BORE;bore;;;;;;;;;x 
INSULT_IDLER;idler;;;;;;;;;x 
INSULT_COVETOUS;covetous;;;;;;;;;x 
INSULT_SOFT;soft;;;;;;;;;x 
INSULT_SPIDER;spider;;;;;;;;;x 
INSULT_WUSSY;wussy;;;;;;;;;x 
INSULT_TIMID;timid;;;;;;;;;x 
INSULT_COY;coy;;;;;;;;;x 
INSULT_RAPACIOUS;rapacious;;;;;;;;;x 
INSULT_GRASPING;grasping;;;;;;;;;x 
INSULT_UNBELIEVER;unbeliever;;;;;;;;;x 
INSULT_NARROWMINDED;narrow-minded;;;;;;;;;x 
COMPL_VIVACIOUS;vivacious;;;;;;;;;x 
COMPL_DEMURE;demure;;;;;;;;;x 
COMPL_SINCERE;sincere;;;;;;;;;x 
COMPL_FORTHRIGHT;forthright;;;;;;;;;x 
COMPL_ROGUE;rogue;;;;;;;;;x 
COMPL_RAFFISH;raffish;;;;;;;;;x 
COMPL_AFFABLE;affable;;;;;;;;;x 
COMPL_WIT;wit;;;;;;;;;x 
COMPL_DEVIL;devil;;;;;;;;;x 
COMPL_IMPISH;impish;;;;;;;;;x 
COMPL_PIRATE;pirate;;;;;;;;;x 
COMPL_BERSERKER;berserker;;;;;;;;;x 
COMPL_SAOSHYANT;Saoshyant;;;;;;;;;x 
COMPL_VALKYRIE;valkyrie;;;;;;;;;x 
COMPL_VIKING;viking;;;;;;;;;x 
COMPL_FAIR;fair;;;;;;;;;x 
COMPL_BEAUTY;beauty;;;;;;;;;x 
COMPL_HANDSOME;handsome;;;;;;;;;x 
COMPL_BRILLIANT;brilliant;;;;;;;;;x 
COMPL_GENIUS;genius;;;;;;;;;x 
COMPL_STRONG;strong;;;;;;;;;x 
COMPL_SCHOLAR;scholar;;;;;;;;;x 
COMPL_LEARNED;learned;;;;;;;;;x 
COMPL_MYSTIC;mystic;;;;;;;;;x 
COMPL_POET;poet;;;;;;;;;x 
COMPL_CHASTE;chaste;;;;;;;;;x 
COMPL_GOOD;good;;;;;;;;;x 
COMPL_DILIGENT;diligent;;;;;;;;;x 
COMPL_KINDLY;kindly;;;;;;;;;x 
COMPL_KINDHEARTED;kindhearted;;;;;;;;;x 
COMPL_BRAVE;brave;;;;;;;;;x 
COMPL_PROUD;proud;;;;;;;;;x 
COMPL_HUMBLE;humble;;;;;;;;;x 
COMPL_JUST;just;;;;;;;;;x 
COMPL_RIGHTEOUS;righteous;;;;;;;;;x 
COMPL_SAYYID;Sayyid;;;;;;;;;x 
COMPL_SAYYIDA;Sayyida;;;;;;;;;x 
COMPL_PILGRIM;pilgrim;;;;;;;;;x 
COMPL_MIRZA;mirza;;;;;;;;;x 
COMPL_HAJJAJ;Hajjaj;;;;;;;;;x 
COMPL_MUJAHID;Mujahid;;;;;;;;;x 
COMPL_CRUSADER;Crusader;;;;;;;;;x 
COMPL_HAFIZ;Hafiz;;;;;;;;;x 
COMPL_FAQIH;Faqih;;;;;;;;;x 
